Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
6168300	Honda	Accord	LX-S	1HGCS12369A026311	Black	82,600	$7,995	http://x-img.autorevo.com/2009-honda-accord-naugatuck-ct-6168300/1686842-0-medium.jpg
6115017	Honda	Civic	LX	2HGFC4A52GH300309	Blue	7,200	$14,995	http://x-img.autorevo.com/2016-honda-civic-naugatuck-ct-6115017/1636611-0-medium.jpg
6161771	Honda	Civic	LX	19XFB2F52FE296710	Black	18,000	$11,995	http://x-img.autorevo.com/2015-honda-civic-naugatuck-ct-6161771/1680134-0-medium.jpg
6138768	Honda	Civic	LX	19XFB2F5XFE255404	Silver	30,900	$10,995	http://x-img.autorevo.com/2015-honda-civic-naugatuck-ct-6138768/1656248-0-medium.jpg
6145228	Honda	Civic	Si	2HGFG4A53FH706988	Black	18,300	$16,995	http://x-img.autorevo.com/2015-honda-civic-naugatuck-ct-6145228/1662778-0-medium.jpg
6168234	Honda	Civic	LX	2HGFB2F59CH578201	Gray	26,800	$9,495	http://x-img.autorevo.com/2012-honda-civic-naugatuck-ct-6168234/1686688-0-medium.jpg
6168239	Honda	Civic	LX	19XFB2F50CE376521	Burgundy	40,200	$8,995	http://x-img.autorevo.com/2012-honda-civic-naugatuck-ct-6168239/1686702-0-medium.jpg
6156840	Honda	CR-V	EX	2HKRM4H55EH640721	Silver	23,000	$15,995	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6156840/1674601-0-medium.jpg
6168048	Honda	CR-V	EX	2HKRM4H56EH604424	Blue	26,300	$15,995	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6168048/1686352-0-medium.jpg
6115025	Honda	CR-V	EX	2HKRM4H5XEH624742	Gray	28,000	$16,995	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6115025/1636668-0-medium.jpg
6168045	Honda	CR-V	EX-L	5J6RM4H73EL107080	Burgundy	37,600	$17,495	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6168045/1686351-0-medium.jpg
6168044	Honda	CR-V	LX	2HKRM4H38EH694769	Gray	18,700	$15,495	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6168044/1686350-0-medium.jpg
6161856	Honda	CR-V	LX	2HKRM4H35EH681154	Black	22,800	$14,995	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6161856/1679816-0-medium.jpg
6115020	Honda	CR-V	LX	5J6RM4H39EL038831	Gray	25,200	$14,995	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6115020/1669328-0-medium.jpg
6168043	Honda	CR-V	LX	5J6RM4H38EL041459	Silver	25,500	$14,995	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6168043/1686349-0-medium.jpg
6162518	Honda	CR-V	LX	2HKRM4H36EH650706	Black	64,200	$12,995	http://x-img.autorevo.com/2014-honda-cr-v-naugatuck-ct-6162518/1680349-0-medium.jpg
6162747	Honda	CR-V	EX	5J6RE4H59BL049094	Gray	77,400	$11,495	http://x-img.autorevo.com/2011-honda-cr-v-naugatuck-ct-6162747/1680785-0-medium.jpg
6120120	Honda	Fit	LX	JHMGK5H55GX001862	Silver	30,300	$11,795	http://x-img.autorevo.com/2016-honda-fit-naugatuck-ct-6120120/1637760-0-medium.jpg
6156767	Honda	Fit	N/A	JHMGE8G39CS008684	Red	26,500	$7,995	http://x-img.autorevo.com/2012-honda-fit-naugatuck-ct-6156767/1674482-0-medium.jpg
6138758	Honda	Odyssey	LX	5FNRL5H24GB014626	Burgundy	34,900	$19,995	http://x-img.autorevo.com/2016-honda-odyssey-naugatuck-ct-6138758/1656232-0-medium.jpg
6161827	Honda	Odyssey	LX	5FNRL5H21EB016914	Gray	32,900	$16,495	http://x-img.autorevo.com/2014-honda-odyssey-naugatuck-ct-6161827/1680795-0-medium.jpg
6161848	Honda	Odyssey	LX	5FNRL5H26EB017833	Gray	39,700	$16,495	http://x-img.autorevo.com/2014-honda-odyssey-naugatuck-ct-6161848/1679815-0-medium.jpg
6168033	Honda	Odyssey	LX	5FNRL5H29EB002128	White	45,800	$15,995	http://x-img.autorevo.com/2014-honda-odyssey-naugatuck-ct-6168033/1686324-0-medium.jpg
6145222	Honda	Odyssey	LX	5FNRL38238B050457	Tan	62,400	$7,995	http://x-img.autorevo.com/2008-honda-odyssey-naugatuck-ct-6145222/1662770-0-medium.jpg
6090947	Honda	Pilot	Touring	5FNYF4H9XFB017460	White	43,200	$27,995	http://x-img.autorevo.com/2015-honda-pilot-naugatuck-ct-6090947/1608197-0-medium.jpg
6168201	Honda	Pilot	LX	5FNYF4H21DB066370	Black	92,000	$14,995	http://x-img.autorevo.com/2013-honda-pilot-naugatuck-ct-6168201/1686627-0-medium.jpg
6151166	Honda	Pilot	EX-L	5FNYF4H56CB077034	Gray	62,200	$17,995	http://x-img.autorevo.com/2012-honda-pilot-naugatuck-ct-6151166/1669102-0-medium.jpg
6168051	Honda	Ridgeline	RTL	5FPYK1F58DB011428	White	89,300	$17,995	http://x-img.autorevo.com/2013-honda-ridgeline-naugatuck-ct-6168051/1686353-0-medium.jpg
6157065	Honda	Ridgeline	RTL	5FPYK1F54BB454396	Black	103,600	$14,995	http://x-img.autorevo.com/2011-honda-ridgeline-naugatuck-ct-6157065/1674935-0-medium.jpg
6162716	Honda	Ridgeline	RTL	2HJYK16508H522426	Silver	82,900	$13,995	http://x-img.autorevo.com/2008-honda-ridgeline-naugatuck-ct-6162716/1680620-0-medium.jpg
6125644	Honda	Ridgeline	RTX	2HJYK16368H525622	Blue	71,900	$13,995	http://x-img.autorevo.com/2008-honda-ridgeline-naugatuck-ct-6125644/1643182-0-medium.jpg
6156747	Honda	Ridgeline	RTL	2HJYK16516H543251	Silver	108,000	$9,495	http://x-img.autorevo.com/2006-honda-ridgeline-naugatuck-ct-6156747/1686835-2-medium.jpg
6157805	Hyundai	Accent	SE	KMHCU5AE8EU151236	Blue	17,500	$9,495	http://x-img.autorevo.com/2014-hyundai-accent-5-door-naugatuck-ct-6157805/1675666-0-medium.jpg
6114448	Hyundai	Accent	5-Door SE	KMHCT5AE1GU278562	White	9,000	$9,895	http://x-img.autorevo.com/2016-hyundai-accent-5-door-naugatuck-ct-6114448/1634394-0-medium.jpg
6167955	Hyundai	Elantra	SE	5NPD74LFXHH101744	Silver	9,800	$13,495	http://x-img.autorevo.com/2017-hyundai-elantra-naugatuck-ct-6167955/1686207-0-medium.jpg
6167965	Hyundai	Elantra	SE	5NPD74LF8HH071689	Red	15,000	$13,295	http://x-img.autorevo.com/2017-hyundai-elantra-naugatuck-ct-6167965/1686208-0-medium.jpg
6157786	Hyundai	Elantra	SE	KMHDH4AE5FU234837	Red	24,600	$10,995	http://x-img.autorevo.com/2015-hyundai-elantra-naugatuck-ct-6157786/1675643-0-medium.jpg
6161809	Hyundai	Elantra	SE	5NPDH4AE9EH466547	Black	26,800	$10,495	http://x-img.autorevo.com/2014-hyundai-elantra-naugatuck-ct-6161809/1679761-0-medium.jpg
6157711	Hyundai	Elantra	Limited	5NPDH4AE9CH150689	Black	49,200	$8,595	http://x-img.autorevo.com/2012-hyundai-elantra-naugatuck-ct-6157711/1675520-0-medium.jpg
3731226	Hyundai	Elantra	N/A	KMHDU46D98U284896	Burgundy	86,300	$3,995	http://x-img.autorevo.com/2008-hyundai-elantra-naugatuck-ct-3731226/1674836-0-medium.jpg
6150391	Hyundai	Elantra	GT	KMHD35LH5GU271044	Silver	23,800	$11,495	http://x-img.autorevo.com/2016-hyundai-elantra-gt-naugatuck-ct-6150391/1668376-0-medium.jpg
6137948	Hyundai	Elantra	GT	KMHD35LH2GU252984	Blue	39,500	$9,995	http://x-img.autorevo.com/2016-hyundai-elantra-gt-naugatuck-ct-6137948/1655622-0-medium.jpg
6106282	Hyundai	Elantra	GT	KMHD35LH5GU304673	Black	40,600	$9,995	http://x-img.autorevo.com/2016-hyundai-elantra-gt-naugatuck-ct-6106282/1625323-0-medium.jpg
6150215	Hyundai	Elantra	GT	KMHD35LE1DU123152	Silver	18,800	$10,995	http://x-img.autorevo.com/2013-hyundai-elantra-gt-naugatuck-ct-6150215/1668114-0-medium.jpg
6157115	Hyundai	Entourage	Limited	KNDMC233876027433	White	95,100	$5,995	http://x-img.autorevo.com/2007-hyundai-entourage-naugatuck-ct-6157115/1675016-0-medium.jpg
6156829	Hyundai	Genesis	3.8L	KMHGN4JE8FU050157	Gray	21,600	$25,995	http://x-img.autorevo.com/2015-hyundai-genesis-naugatuck-ct-6156829/1674566-0-medium.jpg
6139788	Hyundai	Santa	Fe GLS	5NMSG73D37H001665	Silver	94,500	$6,995	http://x-img.autorevo.com/2007-hyundai-santa-fe-naugatuck-ct-6139788/1657326-0-medium.jpg
6151305	Hyundai	Santa	Fe SE	5NMSH73E97H006309	Blue	71,200	$7,995	http://x-img.autorevo.com/2007-hyundai-santa-fe-naugatuck-ct-6151305/1669300-0-medium.jpg
6168871	Hyundai	Sonata	2.4L SE	5NPE24AF2GH405252	Red	23,500	$11,995	http://x-img.autorevo.com/2016-hyundai-sonata-naugatuck-ct-6168871/1687273-0-medium.jpg
6114267	Hyundai	Sonata	2.4L Limited	5NPE34AF6FH224442	Gray	17,100	$15,995	http://x-img.autorevo.com/2015-hyundai-sonata-naugatuck-ct-6114267/1634336-0-medium.jpg
6138820	Hyundai	Sonata	GLS	5NPEB4ACXEH830060	Red	23,500	$10,995	http://x-img.autorevo.com/2014-hyundai-sonata-naugatuck-ct-6138820/1656300-0-medium.jpg
6168021	Hyundai	Sonata	SE	5NPEC4AC0EH881919	White	73,800	$9,995	http://x-img.autorevo.com/2014-hyundai-sonata-naugatuck-ct-6168021/1686287-0-medium.jpg
6138654	Hyundai	Sonata	GLS	5NPEB4AC0DH726028	Black	35,700	$8,995	http://x-img.autorevo.com/2013-hyundai-sonata-naugatuck-ct-6138654/1656113-0-medium.jpg
6168277	Hyundai	Sonata	GLS	5NPEB4AC3CH461488	Blue	75,200	$6,995	http://x-img.autorevo.com/2012-hyundai-sonata-naugatuck-ct-6168277/1686787-0-medium.jpg
6138816	Hyundai	Sonata	Hybrid	KMHEC4A43EA113492	Black	44,600	$12,995	http://x-img.autorevo.com/2014-hyundai-sonata-hybrid-naugatuck-ct-6138816/1656296-0-medium.jpg
