Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
6130725	Ford	Transit	Connect Van	NM0LS7CN2DT148742	Frozen White	46477	$12,495	http://x-img.autorevo.com/2013-ford-transit-connect-van-waterbury-ct-6130725/1647816-0-medium.jpg
6165258	Ford	Windstar	Wagon	2FMZA52402BB76626	t Parchment Gold Metalli	110725	$2,690	http://x-img.autorevo.com/2002-ford-windstar-wagon-waterbury-ct-6165258/1683452-0-medium.jpg
6168865	GMC	Acadia	N/A	1GKEV33708J198512	Red Jewel Tintcoat	101608	$13,950	http://x-img.autorevo.com/2008-gmc-acadia-waterbury-ct-6168865/1687287-0-medium.jpg
6158604	Honda	Accord	N/A	1HGCT1B35EA002542	Crystal Black Pearl	34926	$14,950	http://x-img.autorevo.com/2014-honda-accord-waterbury-ct-6158604/1676560-0-medium.jpg
6157758	Honda	Accord	N/A	1HGCR2E56EA019996	Modern Steel Metalli	35673	$14,950	http://x-img.autorevo.com/2014-honda-accord-waterbury-ct-6157758/1675647-0-medium.jpg
6132745	Honda	Accord	N/A	1HGCR2F33DA276688	Crystal Black Pearl	52675	$13,450	http://x-img.autorevo.com/2013-honda-accord-waterbury-ct-6132745/1649780-0-medium.jpg
6102935	Honda	Accord	N/A	JHMCG6695YC030315	Tan	256980	$1,995	http://x-img.autorevo.com/2000-honda-accord-wallingford-ct-6102935/1620997-0-medium.jpg
6103674	Honda	Accord	Sdn	1HGCD5664SA159385	Silver	169000	$1,300	http://x-img.autorevo.com/1995-honda-accord-sdn-waterbury-ct-6103674/1622002-0-medium.jpg
6159707	Honda	Civic	N/A	2HGFB2F89EH559385	Dyno Blu	39445	$13,950	http://x-img.autorevo.com/2014-honda-civic-waterbury-ct-6159707/1677618-0-medium.jpg
6093203	Honda	Civic	N/A	19XFB2E54DE005509	Polished Metal Metalli	50219	$11,980	http://x-img.autorevo.com/2013-honda-civic-wallingford-ct-6093203/1610650-0-medium.jpg
