Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
CP425	Toyota	Corolla	LE Plus	2T1BURHE6FC316647	Blue	21,534	$14,545	http://www.irwinhyundai.com/assets/inventory/vehicles/2t1burhe6fc316647/ip/thumbs/1-320.jpg
CP423	Toyota	RAV4	LE	2T3BFREV4FW310950	Orange	36,531	$18,375	http://www.irwinhyundai.com/assets/inventory/vehicles/2t3bfrev4fw310950/ip/thumbs/1-320.jpg
HFT593A	Chevrolet	Silverado	1500 LT	3GCUKREC7FG399139	Green	21,294	$34,439	http://www.irwinhyundai.com/assets/inventory/vehicles/3gcukrec7fg399139/ip/thumbs/1-320.jpg
XP009	Mazda3	i	Sport	3MZBM1U76FM189458	White	35,323	$14,264	http://www.irwinhyundai.com/assets/inventory/vehicles/3mzbm1u76fm189458/ip/thumbs/1-320.jpg
HJT806A	Toyota	Tacoma	N/A	3TMLU4EN7FM189698	White	28,983	$28,370	http://www.irwinhyundai.com/assets/inventory/vehicles/3tmlu4en7fm189698/ip/thumbs/1-320.jpg
RP559A	Subaru	Legacy	2.5i Limited	4S3BNAN65F3045942	White	25,766	$23,259	http://www.irwinhyundai.com/assets/inventory/vehicles/4s3bnan65f3045942/ip/thumbs/1-320.jpg
LHJT909A	Toyota	Highlander	LEPL	5TDBKRFH3FS181623	Silver	27,780	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/5tdbkrfh3fs181623/ip/thumbs/1-320.jpg
HJT491A	Toyota	Highlander	XLE	5TDJKRFH6FS199206	Silver	14,181	$35,748	http://www.irwinhyundai.com/assets/inventory/vehicles/5tdjkrfh6fs199206/ip/thumbs/1-320.jpg
HJC971B	Toyota	Tacoma	N/A	5TFUX4EN8FX035247	Silver	16,031	$23,955	http://www.irwinhyundai.com/assets/inventory/vehicles/5tfux4en8fx035247/ip/thumbs/1-320.jpg
HJT628A	Toyota	Tacoma	Ext Cab 4x4 SR5	5TFUX4EN9FX034365	Silver	23,636	$23,175	http://www.irwinhyundai.com/assets/inventory/vehicles/5tfux4en9fx034365/ip/thumbs/1-320.jpg
LB826	Toyota	Tacoma	Access Cab 4x4	5TFUX4ENXFX030969	Silver	24,867	$22,986	http://www.irwinhyundai.com/assets/inventory/vehicles/5tfux4enxfx030969/ip/thumbs/1-320.jpg
HJT401A	Toyota	RAV4	LE	JTMBFREV6FD130169	Red	9,009	$20,688	http://www.irwinhyundai.com/assets/inventory/vehicles/jtmbfrev6fd130169/ip/thumbs/1-320.jpg
LHJT782B	Nissan	Rogue	S	KNMAT2MV0FP545726	Black	30,502	$17,000	http://www.irwinhyundai.com/assets/inventory/vehicles/knmat2mv0fp545726/ip/thumbs/1-320.jpg
